day,hour,minute,amps_avg,kw_avg,amps_min,amps_max,kw_min,kw_max,datetime
6,2,30,0.1365,31.395,0.1365,0.1365,31.395,31.395,2013-12-06 02:30:00.000
6,2,31,0.126,28.98,0.126,0.126,28.98,28.98,2013-12-06 02:31:00.000
6,2,32,0.1015,23.345,0.1015,0.1015,23.345,23.345,2013-12-06 02:32:00.000
6,2,33,0.103833,23.881667,0.103833,0.103833,23.881667,23.881667,2013-12-06 02:33:00.000
6,2,34,0.105,24.15,0.105,0.105,24.15,24.15,2013-12-06 02:34:00.000
6,2,35,0.105,24.15,0.105,0.105,24.15,24.15,2013-12-06 02:35:00.000
6,2,36,0.120167,27.638333,0.120167,0.120167,27.638333,27.638333,2013-12-06 02:36:00.000
6,2,37,0.134167,30.858333,0.134167,0.134167,30.858333,30.858333,2013-12-06 02:37:00.000
6,2,38,0.142333,32.736667,0.142333,0.142333,32.736667,32.736667,2013-12-06 02:38:00.000
6,2,39,0.155167,35.688333,0.155167,0.155167,35.688333,35.688333,2013-12-06 02:39:00.000
6,2,40,0.189,43.47,0.189,0.189,43.47,43.47,2013-12-06 02:40:00.000
6,2,41,0.103833,23.881667,0.103833,0.103833,23.881667,23.881667,2013-12-06 02:41:00.000
6,2,42,0.134167,30.858333,0.134167,0.134167,30.858333,30.858333,2013-12-06 02:42:00.000
6,2,43,0.133,30.59,0.133,0.133,30.59,30.59,2013-12-06 02:43:00.000
6,2,44,0.159833,36.761667,0.159833,0.159833,36.761667,36.761667,2013-12-06 02:44:00.000
6,2,45,0.151667,34.883333,0.151667,0.151667,34.883333,34.883333,2013-12-06 02:45:00.000
6,2,46,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 02:46:00.000
6,2,47,0.119,27.37,0.119,0.119,27.37,27.37,2013-12-06 02:47:00.000
6,2,48,0.096833,22.271667,0.096833,0.096833,22.271667,22.271667,2013-12-06 02:48:00.000
6,2,49,0.113167,26.028333,0.113167,0.113167,26.028333,26.028333,2013-12-06 02:49:00.000
6,2,50,0.1645,37.835,0.1645,0.1645,37.835,37.835,2013-12-06 02:50:00.000
6,2,51,0.1715,39.445,0.1715,0.1715,39.445,39.445,2013-12-06 02:51:00.000
6,2,52,0.170333,39.176667,0.170333,0.170333,39.176667,39.176667,2013-12-06 02:52:00.000
6,2,53,0.186667,42.933333,0.186667,0.186667,42.933333,42.933333,2013-12-06 02:53:00.000
6,2,54,0.165667,38.103333,0.165667,0.165667,38.103333,38.103333,2013-12-06 02:54:00.000
6,2,55,0.123667,28.443333,0.123667,0.123667,28.443333,28.443333,2013-12-06 02:55:00.000
6,2,56,0.127167,29.248333,0.127167,0.127167,29.248333,29.248333,2013-12-06 02:56:00.000
6,2,57,0.134167,30.858333,0.134167,0.134167,30.858333,30.858333,2013-12-06 02:57:00.000
6,2,58,0.1365,31.395,0.1365,0.1365,31.395,31.395,2013-12-06 02:58:00.000
6,2,59,0.158667,36.493333,0.158667,0.158667,36.493333,36.493333,2013-12-06 02:59:00.000
6,3,0,0.142333,32.736667,0.142333,0.142333,32.736667,32.736667,2013-12-06 03:00:00.000
6,3,1,0.135333,31.126667,0.135333,0.135333,31.126667,31.126667,2013-12-06 03:01:00.000
6,3,2,0.128333,29.516667,0.128333,0.128333,29.516667,29.516667,2013-12-06 03:02:00.000
6,3,3,0.128333,29.516667,0.128333,0.128333,29.516667,29.516667,2013-12-06 03:03:00.000
6,3,4,0.130667,30.053333,0.130667,0.130667,30.053333,30.053333,2013-12-06 03:04:00.000
6,3,5,0.123667,28.443333,0.123667,0.123667,28.443333,28.443333,2013-12-06 03:05:00.000
6,3,6,0.120167,27.638333,0.120167,0.120167,27.638333,27.638333,2013-12-06 03:06:00.000
6,3,7,0.1575,36.225,0.1575,0.1575,36.225,36.225,2013-12-06 03:07:00.000
6,3,8,0.176167,40.518333,0.176167,0.176167,40.518333,40.518333,2013-12-06 03:08:00.000
6,3,9,0.145833,33.541667,0.145833,0.145833,33.541667,33.541667,2013-12-06 03:09:00.000
6,3,10,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 03:10:00.000
6,3,11,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 03:11:00.000
6,3,12,0.092167,21.198333,0.092167,0.092167,21.198333,21.198333,2013-12-06 03:12:00.000
6,3,13,0.089833,20.661667,0.089833,0.089833,20.661667,20.661667,2013-12-06 03:13:00.000
6,3,14,0.091,20.93,0.091,0.091,20.93,20.93,2013-12-06 03:14:00.000
6,3,15,0.092167,21.198333,0.092167,0.092167,21.198333,21.198333,2013-12-06 03:15:00.000
6,3,16,0.138833,31.931667,0.138833,0.138833,31.931667,31.931667,2013-12-06 03:16:00.000
6,3,17,0.149333,34.346667,0.149333,0.149333,34.346667,34.346667,2013-12-06 03:17:00.000
6,3,18,0.145833,33.541667,0.145833,0.145833,33.541667,33.541667,2013-12-06 03:18:00.000
6,3,19,0.138833,31.931667,0.138833,0.138833,31.931667,31.931667,2013-12-06 03:19:00.000
6,3,20,0.1015,23.345,0.1015,0.1015,23.345,23.345,2013-12-06 03:20:00.000
6,3,21,0.116667,26.833333,0.116667,0.116667,26.833333,26.833333,2013-12-06 03:21:00.000
6,3,22,0.145833,33.541667,0.145833,0.145833,33.541667,33.541667,2013-12-06 03:22:00.000
6,3,23,0.1295,29.785,0.1295,0.1295,29.785,29.785,2013-12-06 03:23:00.000
6,3,24,0.137667,31.663333,0.137667,0.137667,31.663333,31.663333,2013-12-06 03:24:00.000
6,3,25,0.159833,36.761667,0.159833,0.159833,36.761667,36.761667,2013-12-06 03:25:00.000
6,3,26,0.124833,28.711667,0.124833,0.124833,28.711667,28.711667,2013-12-06 03:26:00.000
6,3,27,0.106167,24.418333,0.106167,0.106167,24.418333,24.418333,2013-12-06 03:27:00.000
6,3,28,0.077,17.71,0.077,0.077,17.71,17.71,2013-12-06 03:28:00.000
